City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ta'izz,13.5,44.0,28.64,45,100,2.78,YE,1686216542
84,pasni,25.2631,63.471,29.63,82,4,2.99,PK,1686216543
85,xining,36.6167,101.7667,23.4,21,86,1.5,CN,1686216543
86,mana,5.6592,-53.7767,24.63,91,100,2.64,GF,1686216544
87,nemuro,43.3236,145.575,12.15,97,47,4.46,JP,1686216544
88,niigata,37.9022,139.0236,24.4,83,75,3.09,JP,1686216518
89,daru,-9.0763,143.2092,25.22,88,79,7.84,PG,1686216546
90,mandalgovi,45.7625,106.2708,23.81,24,15,10.96,MN,1686216547
91,tolanaro,-25.0319,46.9987,28.04,65,20,8.23,MG,1686216547
92,pangody,65.85,74.4859,9.77,58,100,5.97,RU,1686216548
93,kizhinga,51.8462,109.9097,24.16,19,19,7.47,RU,1686216549
94,knyaze-volkonskoye,48.4642,135.4567,19.19,84,100,2.68,RU,1686216549
95,karimnagar,18.4333,79.15,42.08,18,98,6.36,IN,1686216463
96,whakatane,-37.9585,176.9854,10.84,91,19,5.58,NZ,1686216550
97,kailua-kona,19.6406,-155.9956,23.98,94,100,3.09,US,1686216551
98,sibut,5.718,19.0739,31.59,53,100,1.08,CF,1686216552
99,sogndal,61.2283,7.1003,16.21,50,20,2.57,NO,1686216394
100,hetauda,27.4284,85.0322,36.64,15,40,3.64,NP,1686216553
101,berezovyy,51.6667,135.7,18.03,86,100,2.33,RU,1686216553
102,pisco,-13.7,-76.2167,21.03,73,100,2.57,PE,1686216554
103,praia da vitoria,38.7333,-27.0667,19.14,77,40,7.07,PT,1686216554
104,tura,25.5198,90.2201,34.12,45,95,1.84,IN,1686216555
105,aasiaat,68.7098,-52.8699,-1.93,86,73,2.27,GL,1686216556
106,west plains,36.7281,-91.8524,20.46,88,75,2.06,US,1686216556
107,alacranes,22.7675,-81.5675,23.27,89,28,1.37,CU,1686216557
108,ende,-8.8432,121.6623,25.97,81,52,2.14,ID,1686216557
109,hastings,50.8552,0.5729,18.96,25,0,8.11,GB,1686216558
110,wailua homesteads,22.0669,-159.378,25.24,89,75,4.63,US,1686216558
111,port alfred,-33.5906,26.891,22.32,46,47,3.58,ZA,1686216559
112,nova sintra,14.8667,-24.7167,21.8,84,3,4.89,CV,1686216559
113,norrtalje,59.758,18.705,15.8,62,30,5.86,SE,1686216560
114,tiksi,71.6872,128.8694,5.75,72,51,1.41,RU,1686216561
115,kitee,62.1,30.15,12.71,56,74,3.81,FI,1686216550
116,arraial do cabo,-22.9661,-42.0278,17.92,94,0,2.57,BR,1686216562
117,qaqortoq,60.7167,-46.0333,3.33,65,7,2.06,GL,1686216562
118,grantsville,40.5999,-112.4644,17.02,46,0,3.6,US,1686216563
119,olonkinbyen,70.9221,-8.7187,2.02,89,100,6.22,SJ,1686216563
120,polyarnyy,69.1989,33.4478,6.79,55,93,4.36,RU,1686216564
121,dunedin,-45.8742,170.5036,4.89,86,5,0.45,NZ,1686216347
122,ushuaia,-54.8,-68.3,-0.19,80,0,2.06,AR,1686216565
